Vector Size (log2 N),Kernel Time (ms),Host Alloc Time (ms),Device Alloc Time (ms),Host Init Time (ms),H2D Time (ms),D2H Time (ms),Cleanup Time (ms),Total Time (ms)
15,0.3164,0.0075,0.1026,0.1081,0.2784,0.0628,0.2559,1.1482
16,0.0410,0.0048,0.0596,0.1253,0.0997,0.1356,0.1495,0.5921
17,0.0469,0.0090,0.0609,0.3037,0.1276,0.2042,0.1558,0.8781
18,0.0604,0.0122,0.0549,0.5538,0.2890,0.3895,0.3619,1.6782
19,0.0937,0.0285,0.1057,1.1427,0.5899,0.5328,0.4272,2.8507
20,0.1643,0.0243,0.1643,1.9620,0.9985,1.1749,0.5919,4.9692
21,0.0989,0.0311,0.2552,3.8944,1.8875,1.4553,0.7753,8.3253
22,0.2540,0.0198,0.2101,8.5916,3.6966,3.1093,1.5666,17.2278
23,0.3753,0.0352,0.5019,16.4065,8.1929,4.6105,2.5300,32.3140
24,0.5314,0.0325,0.4585,30.3635,16.4174,9.8351,4.6759,61.8546
25,1.3941,0.0346,0.7421,62.0859,30.2114,20.9284,11.2451,125.2950
